Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
ATLNORC2960X01,192.168.224.2,switch,Cisco,enabled,Atlanta,cisco_ios,C2960X,15.2(2)E4
AUG2960X01,192.168.240.2,switch,Cisco,enabled,Augusta,cisco_ios,C2960X,15.0(2)EX4
CHAS2960X01,192.168.227.2,switch,Cisco,enabled,Charleston,cisco_ios,C2960X,15.0(2)EX4
CHAS2960X02,192.168.227.4,switch,Cisco,enabled,Charleston,cisco_ios,C2960X,15.0(2)EX4
2960X10APS,192.168.236.10,switch,Cisco,enabled,Charlotte,cisco_ios,C2960X,15.2(2)E7
CHLT2960X01,192.168.236.6,switch,Cisco,enabled,Charlotte,cisco_ios,C2960X,15.0(2)EX4
CHLT2960X02,192.168.236.7,switch,Cisco,enabled,Charlotte,cisco_ios,C2960X,15.0(2)EX4
CHLT2960X03,192.168.236.5,switch,Cisco,enabled,Charlotte,cisco_ios,C2960X,15.2(2)E6
2960SVRROOM,192.168.118.3,switch,Cisco,enabled,Columbia,cisco_ios,C2960,12.2(50)SE5
3RDFLRPRINT,192.168.1.10,switch,Cisco,enabled,Columbia,cisco_ios,C2950,12.1(22)EA4
BONITZ2960,192.168.118.2,switch,Cisco,enabled,Columbia,cisco_ios,C2960,12.2(46)SE
BONITZ2960A,192.168.118.4,switch,Cisco,enabled,Columbia,cisco_ios,C2960,12.2(52)SE
BONITZ2960B,192.168.118.5,switch,Cisco,enabled,Columbia,cisco_ios,C2960,12.2(52)SE
BONITZ3560G,192.168.1.1,switch,Cisco,enabled,Columbia,cisco_ios,C3560,12.2(53)SE
GRVL2960X01,192.168.225.7,switch,Cisco,enabled,Greenville,cisco_ios,C2960X,15.0(2)EX4
GRVL2960X02,192.168.225.8,switch,Cisco,enabled,Greenville,cisco_ios,C2960X,15.0(2)EX4
GRVL2960X04,192.168.225.27,switch,Cisco,enabled,Greenville,cisco_ios,C2960X,15.0(2)EX4
GRVL2960X05,192.168.225.19,switch,Cisco,enabled,Greenville,cisco_ios,C2960X,15.2(2)E5
GVRL2960X03,192.168.225.26,switch,Cisco,enabled,Greenville,cisco_ios,C2960X,15.0(2)EX4
HHSWITCH,192.168.100.2,switch,Cisco,enabled,HiltonHead,cisco_ios,C2960,12.2(50)SE5
C3650CORE,192.168.198.1,switch,Cisco,enabled,Immedion,cisco_xe,C3650,03.03.03SE
JAC2960X01,172.16.30.2,switch,Cisco,enabled,Jacksonville,cisco_ios,C2960X,15.2(2)E7
KNOX2960X01,192.168.242.2,switch,Cisco,enabled,Knoxville,cisco_ios,C2960X,15.0(2)EX4
NASH2960X01,192.168.222.2,switch,Cisco,enabled,Nashville,cisco_ios,C2960X,15.0(2)EX4
NOR2960X01,192.168.223.2,switch,Cisco,enabled,New Orleans,cisco_ios,C2960X,15.2(2)E6
PIT2960X01,172.16.20.2,switch,Cisco,enabled,Pittsburgh,cisco_ios,C2960X,15.2(2)E7
RAL2960X01,192.168.230.2,switch,Cisco,enabled,Raleigh,cisco_ios,C2960X,15.0(2)EX4
RAL2960X02,192.168.230.3,switch,Cisco,enabled,Raleigh,cisco_ios,C2960X,15.0(2)EX4
RICH2960X01,192.168.250.2,switch,Cisco,enabled,Richmond,cisco_ios,C2960X,15.0(2)EX4
ROA2960X01,172.16.10.2,switch,Cisco,enabled,Roanoke,cisco_ios,C2960X,15.2(2)E5
RRS2960X01,192.168.221.12,switch,Cisco,enabled,RRS,cisco_ios,C2960X,15.0(2)EX4
WS2960X01,192.168.248.4,switch,Cisco,enabled,Triad,cisco_ios,C2960X,15.0(2)EX4
CHLTAP1,192.168.236.201,wireless_ap,Aruba,enabled,WirelessCharlotte,aruba_os,,
CHLTAP2,192.168.236.202,wireless_ap,Aruba,enabled,WirelessCharlotte,aruba_os,,
CHLTAP3,192.168.236.203,wireless_ap,Aruba,enabled,WirelessCharlotte,aruba_os,,
CHLTAP4,192.168.236.204,wireless_ap,Aruba,enabled,WirelessCharlotte,aruba_os,,
CHLTAP5,192.168.236.205,wireless_ap,Aruba,enabled,WirelessCharlotte,aruba_os,,
CHLTAP6,192.168.236.206,wireless_ap,Aruba,enabled,WirelessCharlotte,aruba_os,,
CHLTAP7,192.168.236.207,wireless_ap,Aruba,enabled,WirelessCharlotte,aruba_os,,
CHLTAP8,192.168.236.208,wireless_ap,Aruba,enabled,WirelessCharlotte,aruba_os,,
COLAAP1,192.168.1.2,wireless_ap,Aruba,enabled,WirelessCola,aruba_os,,
COLAAP2,192.168.1.15,wireless_ap,Aruba,enabled,WirelessCola,aruba_os,,
PITAP01,172.16.20.10,wireless_ap,Aruba,enabled,WirelessPittsburgh,aruba_os,,
RALIAP23,192.168.230.23,wireless_ap,Aruba,enabled,WirelessRaleigh,aruba_os,,
RALIAP24,192.168.230.24,wireless_ap,Aruba,enabled,WirelessRaleigh,aruba_os,,
RALIAP25,192.168.230.25,wireless_ap,Aruba,enabled,WirelessRaleigh,aruba_os,,
RALIAP26,192.168.230.26,wireless_ap,Aruba,enabled,WirelessRaleigh,aruba_os,,
iprisim,192.168.236.3,idp,iPrisim,disabled,,xns_idp,,
172.16.20.9,172.16.20.9,wireless,Aruba,enabled,,aruba_os,,
192.168.1.4,192.168.1.4,wireless,Aruba,enabled,,aruba_os,,
192.168.224.200,192.168.224.200,wireless,Aruba,enabled,,aruba_os,,
192.168.236.200,192.168.236.200,wireless,Aruba,enabled,,aruba_os,,
ATLAP2,192.168.224.202,wireless_ap,Aruba,enabled,,aruba_os,,
