NODE_NAME,NODE_IP,PORT,IP,MAC,VLAN,DNS
"ROA2960X01","172.16.10.2","Gi1/0/40","172.16.10.14","0015.5dd7.2600","1","2008r2roasvr.bonitz.biz"
"ROA2960X01","172.16.10.2","Gi1/0/25","172.16.10.9","0021.b751.0cf9","1",""
"ROA2960X01","172.16.10.2","Gi1/0/27","172.16.10.8","0026.7312.3ae6","1",""
"ROA2960X01","172.16.10.2","Gi1/0/41","172.16.10.6","00c0.b75d.cf32","1",""
"ROA2960X01","172.16.10.2","Gi1/0/39","172.16.10.5","00c0.b7f3.8598","1",""
"ROA2960X01","172.16.10.2","Gi1/0/45","172.16.10.16","04bd.88c3.ece4","1",""
"ROA2960X01","172.16.10.2","Gi1/0/38","172.16.10.10","1098.36a9.b81d","1","2012r2roasvr.bonitz.biz"
"ROA2960X01","172.16.10.2","Gi1/0/37","172.16.10.12","1098.36a9.b81f","1",""
"ROA2960X01","172.16.10.2","Gi1/0/26","172.16.10.4","2c9e.fcff.9a42","1",""
"ROA2960X01","172.16.10.2","Gi1/0/48","172.16.10.1","2cd0.2df4.a8a1","1",""
"ROA2960X01","172.16.10.2","Gi1/0/28","172.16.10.72","0090.8f9f.b745","2",""
"ROA2960X01","172.16.10.2","Gi1/0/19","172.16.10.69","509a.4c51.82d0","2","4mcngk2.bonitz.biz"
"ROA2960X01","172.16.10.2","Gi1/0/13","172.16.10.66","ecf4.bb60.3780","2","bpy9j12a.bonitz.biz"
"ROA2960X01","172.16.10.2","Gi1/0/15","172.16.10.68","f8bc.1283.8ffb","2","lisabroaw81.bonitz.biz"
